iter	Passed	Remaining
0	60	60455
1	60	30398
2	61	20363
3	61	15359
4	62	12347
5	62	10338
6	62	8901
7	63	7822
8	63	6985
9	63	6319
10	64	5773
11	64	5316
12	64	4930
13	65	4599
14	65	4310
15	65	4058
16	66	3834
17	66	3634
18	66	3457
19	67	3298
20	67	3152
21	67	3021
22	68	2901
23	68	2792
24	68	2690
25	69	2598
26	69	2511
27	70	2430
28	70	2355
29	70	2287
30	71	2221
31	71	2159
32	71	2101
33	72	2047
34	72	1996
35	72	1948
36	73	1902
37	73	1859
38	73	1817
39	74	1778
40	74	1741
41	74	1706
42	75	1673
43	75	1640
44	75	1610
45	76	1580
46	76	1554
47	76	1527
48	77	1500
49	77	1475
50	77	1451
51	78	1428
52	78	1406
53	79	1385
54	79	1365
55	79	1344
56	80	1326
57	80	1307
58	80	1289
59	81	1271
60	81	1254
61	81	1238
62	82	1222
63	82	1206
64	82	1191
65	83	1176
66	83	1162
67	83	1145
68	83	1132
69	84	1119
70	84	1107
71	84	1094
72	85	1082
73	85	1070
74	85	1059
75	86	1048
76	86	1037
77	86	1027
78	87	1017
79	87	1007
80	87	998
81	88	989
82	88	979
83	89	970
84	89	960
85	89	951
86	89	941
87	90	933
88	90	925
89	90	917
90	91	910
91	91	903
92	91	896
93	92	889
94	92	882
95	92	874
96	93	867
97	93	862
98	93	855
99	94	848
100	94	841
101	94	833
102	95	827
103	95	821
104	95	816
105	96	810
106	96	804
107	96	798
108	97	793
109	97	787
110	97	782
111	97	776
112	98	771
113	98	766
114	98	761
115	99	755
116	99	750
117	99	746
118	100	740
119	100	736
120	100	731
121	101	727
122	101	721
123	101	716
124	101	712
125	102	708
126	102	703
127	102	698
128	102	694
129	103	690
130	103	686
131	103	683
132	104	680
133	104	676
134	105	672
135	105	669
136	105	665
137	105	661
138	106	657
139	106	654
140	106	650
141	107	647
142	107	643
143	107	640
144	108	637
145	108	634
146	108	631
147	109	628
148	109	625
149	109	621
150	110	618
151	110	616
152	110	613
153	111	610
154	111	608
155	111	605
156	112	602
157	112	599
158	112	596
159	113	594
160	113	591
161	113	588
162	114	586
163	114	583
164	114	580
165	115	578
166	115	575
167	115	573
168	116	570
169	116	568
170	116	566
171	117	563
172	117	561
173	117	558
174	118	556
175	118	554
176	118	552
177	119	549
178	119	547
179	119	545
180	119	542
181	120	540
182	120	538
183	120	535
184	121	533
185	121	531
186	121	529
187	122	527
188	122	525
189	122	522
190	123	520
191	123	518
192	123	516
193	123	514
194	124	513
195	124	511
196	124	509
197	125	507
198	125	505
199	125	503
200	126	502
201	126	500
202	126	498
203	127	496
204	127	495
205	127	493
206	128	491
207	128	489
208	128	487
209	129	486
210	129	484
211	129	482
212	130	481
213	130	479
214	130	477
215	131	476
216	131	474
217	131	472
218	132	471
219	132	469
220	132	468
221	133	466
222	133	465
223	133	463
224	134	462
225	134	460
226	134	459
227	135	457
228	135	456
229	135	454
230	136	453
231	136	451
232	136	450
233	137	448
234	137	447
235	137	445
236	138	444
237	138	443
238	138	441
239	139	440
240	139	438
241	139	437
242	140	436
243	140	435
244	140	433
245	141	432
246	141	431
247	141	430
248	142	428
249	142	427
250	142	426
251	143	424
252	143	423
253	143	422
254	144	421
255	144	419
256	144	418
257	145	417
258	145	416
259	145	414
260	146	413
261	146	412
262	146	411
263	146	409
264	147	408
265	147	407
266	147	406
267	148	405
268	148	403
269	148	402
270	149	401
271	149	400
272	149	399
273	150	398
274	150	396
275	150	395
276	151	394
277	151	393
278	151	392
279	152	391
280	152	390
281	152	389
282	153	388
283	153	386
284	153	385
285	154	384
286	154	383
287	154	382
288	155	381
289	155	380
290	155	379
291	156	378
292	156	377
293	156	376
294	157	375
295	157	374
296	157	373
297	158	372
298	158	371
299	158	370
300	159	369
301	159	368
302	159	367
303	160	366
304	160	365
305	160	364
306	161	363
307	161	362
308	161	361
309	161	360
310	162	359
311	162	358
312	162	357
313	163	356
314	163	355
315	163	354
316	164	353
317	164	352
318	164	351
319	165	350
320	165	349
321	165	349
322	166	348
323	166	347
324	166	346
325	167	345
326	167	344
327	167	343
328	168	342
329	168	341
330	168	340
331	169	340
332	169	339
333	169	338
334	170	337
335	170	336
336	170	335
337	171	335
338	171	334
339	171	333
340	172	332
341	172	331
342	172	330
343	173	330
344	173	329
345	173	328
346	174	327
347	174	326
348	174	325
349	175	325
350	175	324
351	175	323
352	175	322
353	176	321
