iter	Passed	Remaining
0	62	62286
1	62	31310
2	63	21013
3	63	15834
4	64	12747
5	64	10668
6	64	9185
7	65	8068
8	65	7199
9	65	6511
10	66	5948
11	66	5479
12	66	5082
13	67	4739
14	67	4442
15	67	4180
16	68	3954
17	68	3754
18	69	3571
19	69	3408
20	69	3260
21	70	3125
22	70	3003
23	71	2890
24	71	2786
25	71	2689
26	72	2599
27	72	2516
28	72	2438
29	73	2366
30	73	2297
31	73	2233
32	74	2172
33	74	2116
34	74	2066
35	75	2018
36	75	1972
37	76	1927
38	76	1884
39	76	1843
40	77	1804
41	77	1766
42	77	1732
43	78	1698
44	78	1666
45	78	1635
46	79	1606
47	79	1577
48	79	1549
49	80	1523
50	80	1498
51	80	1474
52	81	1451
53	81	1429
54	81	1407
55	82	1387
56	82	1368
57	83	1349
58	83	1330
59	83	1311
60	84	1297
61	84	1280
62	84	1263
63	85	1247
64	85	1232
65	86	1217
66	86	1202
67	86	1188
68	87	1174
69	87	1160
70	87	1147
71	88	1134
72	88	1121
73	88	1109
74	89	1097
75	89	1087
76	90	1078
77	90	1068
78	90	1057
79	91	1046
80	91	1036
81	91	1027
82	91	1016
83	92	1006
84	92	996
85	92	987
86	93	979
87	93	970
88	93	961
89	94	953
90	94	945
91	94	936
92	95	928
93	95	920
94	95	913
95	96	906
96	96	899
97	96	892
98	97	885
99	97	878
100	97	872
101	98	865
102	98	859
103	98	852
104	99	846
105	99	840
106	100	835
107	100	829
108	100	823
109	100	817
110	101	811
111	101	805
112	101	799
113	102	794
114	102	789
115	102	784
116	103	778
117	103	773
118	103	768
119	104	763
120	104	758
121	104	753
122	105	749
123	105	745
124	105	740
125	106	736
126	106	731
127	106	726
128	107	722
129	107	718
130	107	714
131	108	710
132	108	706
133	108	702
134	109	699
135	109	695
136	109	691
137	110	687
138	110	684
139	110	680
140	111	677
141	111	672
142	111	669
143	112	666
144	112	662
145	112	659
146	113	656
147	113	653
148	113	649
149	114	646
150	114	643
151	114	640
152	115	637
153	115	634
154	115	632
155	116	629
156	116	626
157	117	623
158	117	620
159	117	618
160	117	614
161	118	611
162	118	609
163	118	606
164	119	603
165	119	601
166	120	599
167	120	596
168	120	594
169	121	591
170	121	589
171	121	586
172	122	584
173	122	581
174	122	579
175	123	577
176	123	574
177	124	572
178	124	570
179	124	568
180	125	566
181	125	563
182	125	561
183	126	559
184	126	556
185	126	554
186	127	552
187	127	550
188	127	548
189	128	546
190	128	543
191	128	541
192	129	539
193	129	537
194	129	535
195	130	533
196	130	531
197	130	529
198	131	527
199	131	525
200	131	523
201	132	521
202	132	519
203	132	517
204	133	516
205	133	514
206	133	512
207	134	510
208	134	510
209	135	508
210	135	506
211	135	504
212	136	503
213	136	501
214	136	499
215	137	497
216	137	496
217	137	494
218	138	492
219	138	491
220	138	489
221	139	487
222	139	486
223	139	484
224	140	483
225	140	481
226	140	480
227	141	478
228	141	476
229	141	475
230	142	473
231	142	472
232	142	470
233	143	469
234	143	467
235	144	466
236	144	464
237	144	463
238	145	461
239	145	460
240	145	459
241	146	457
242	146	456
243	146	454
244	147	453
245	147	451
246	147	450
247	148	449
248	148	448
249	148	446
250	149	445
251	149	444
252	150	442
253	150	441
254	150	440
255	151	438
256	151	437
257	151	436
258	152	435
259	152	434
260	152	432
261	153	431
262	153	430
263	153	428
264	154	427
265	154	426
266	154	425
267	155	423
268	155	422
269	155	421
270	156	420
271	156	419
272	156	417
273	157	416
274	157	415
275	157	414
276	158	412
277	158	411
278	158	410
279	159	409
280	159	408
281	159	407
282	160	406
283	160	405
284	161	404
285	161	402
286	161	401
287	162	400
288	162	399
289	162	398
290	163	397
291	163	396
292	163	395
293	164	393
294	164	392
295	164	391
296	165	391
297	165	389
298	165	388
299	166	387
300	166	386
301	167	386
302	167	385
303	167	384
304	168	383
305	168	382
306	168	381
307	169	380
308	169	379
309	169	378
310	170	377
311	170	376
312	171	375
313	171	374
314	171	373
315	172	372
316	172	371
317	172	370
318	173	369
319	173	369
320	174	368
321	174	367
322	174	366
323	175	365
324	175	364
325	175	363
326	176	362
327	176	361
328	176	360
329	177	359
330	177	358
331	177	357
332	178	356
333	178	355
334	178	354
335	179	354
336	179	353
337	179	352
338	180	351
339	180	350
340	180	349
341	181	348
342	181	347
343	181	346
344	182	346
345	182	345
346	183	344
347	183	343
348	183	342
349	184	341
350	184	340
351	184	340
352	185	339
353	185	338
354	185	337
355	186	336
356	186	335
357	186	334
358	187	334
359	187	333
360	187	332
361	188	331
362	188	330
363	188	329
364	189	329
365	189	328
366	189	327
367	190	326
368	190	326
369	191	325
370	191	324
371	191	323
372	192	322
373	192	322
374	192	321
375	193	320
376	193	319
377	193	318
378	194	317
379	194	317
380	194	316
381	195	315
382	195	314
383	195	314
384	196	313
385	196	312
386	196	311
387	197	311
388	197	310
389	198	309
390	198	308
391	198	308
392	199	307
393	199	306
394	199	306
395	200	305
396	200	304
397	201	304
398	201	303
399	201	302
400	202	302
401	202	301
402	202	300
403	203	299
404	203	299
405	203	298
406	204	297
407	204	296
408	204	295
409	205	295
410	205	294
411	205	293
412	206	293
413	206	292
414	206	291
415	207	290
416	207	290
417	207	289
418	208	288
419	208	288
420	209	287
421	209	286
422	209	286
423	210	285
424	210	284
425	210	284
426	211	283
427	211	282
428	211	282
429	212	281
430	212	280
431	212	280
432	213	279
433	213	278
434	214	278
435	214	277
436	214	276
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	218	272
445	218	271
446	218	270
447	219	270
448	219	269
449	220	269
450	220	268
451	221	268
452	221	267
453	221	266
454	222	266
455	222	265
456	223	264
457	223	264
458	223	263
459	224	263
460	224	262
461	224	261
462	225	261
463	225	260
464	226	260
465	226	259
466	226	258
467	227	258
468	227	257
469	227	256
470	228	256
471	228	255
472	228	254
473	229	254
474	229	253
475	229	252
476	230	252
477	230	251
478	230	250
479	231	250
480	231	249
481	231	249
482	232	248
483	232	247
484	232	247
485	233	246
486	233	246
487	233	245
488	234	244
489	234	244
490	234	243
491	235	242
492	235	242
493	235	241
494	236	241
495	236	240
496	236	239
497	237	239
498	237	238
499	238	238
500	238	237
501	238	236
502	239	236
503	239	235
504	239	235
505	240	234
506	240	233
507	240	233
508	241	232
509	241	231
510	241	231
511	242	230
512	242	230
513	242	229
514	243	229
515	243	228
516	243	227
517	244	227
518	244	226
519	245	226
520	245	225
521	245	225
522	246	224
523	246	223
524	246	223
525	247	222
526	247	222
527	247	221
528	248	221
529	248	220
530	248	219
531	249	219
532	249	218
533	249	218
534	250	217
535	250	216
536	250	216
537	251	215
538	251	215
539	251	214
540	252	214
541	252	213
542	252	212
543	253	212
544	253	211
545	254	211
546	254	210
547	254	210
548	255	209
549	255	209
550	256	208
551	256	208
552	256	207
553	257	206
554	257	206
555	257	205
556	258	205
557	258	204
558	258	204
559	259	203
560	259	203
561	260	202
562	260	202
563	260	201
564	261	201
565	261	200
566	261	199
567	262	199
568	262	198
569	262	198
570	263	197
571	263	197
572	263	196
573	264	196
574	264	195
575	264	195
576	265	194
577	265	193
578	265	193
579	266	192
580	266	192
581	267	191
582	267	191
583	267	190
584	268	190
585	268	189
586	268	189
587	269	188
588	269	188
589	269	187
590	270	187
591	270	186
592	271	186
593	271	185
594	271	185
595	272	184
596	272	184
597	272	183
598	273	182
599	273	182
600	274	181
601	274	181
602	274	180
603	275	180
604	275	179
605	275	179
606	276	178
607	276	178
608	276	177
609	277	177
610	277	176
611	277	176
612	278	175
613	278	175
614	278	174
615	279	174
616	279	173
617	279	173
618	280	172
619	280	171
620	280	171
621	281	170
622	281	170
623	281	169
624	282	169
625	282	168
626	282	168
627	283	167
628	283	167
629	284	166
630	284	166
631	284	165
632	285	165
633	285	164
634	286	164
635	286	163
636	286	163
